id,name,created_at,updated_at,is_team
1,Loopstation,2025-07-12T05:46:24.008Z,2025-07-12T05:46:24.008Z,false
2,Producer,2025-07-12T05:46:41.920Z,2025-07-12T05:46:41.920Z,false
4,Solo,2025-07-12T05:47:11.589Z,2025-07-12T05:47:11.589Z,false
7,U18,2025-07-12T05:47:49.328Z,2025-07-12T05:47:49.328Z,false
6,Crew,2025-07-12T05:47:38.204Z,2025-07-12T05:47:38.204Z,true
5,Tag Team,2025-07-12T05:47:24.567Z,2025-07-12T05:47:24.567Z,true
3,Tag Team Loopstation,2025-07-12T05:46:54.917Z,2025-07-12T05:46:54.917Z,true
8,SHOWCASE (loopstation),2025-10-13T03:37:03.728Z,2025-10-13T03:37:03.728Z,false
9,SHOWCASE (producer),2025-10-13T03:37:15.683Z,2025-10-13T03:37:15.683Z,false
10,SHOWCASE (solo),2025-10-13T03:37:25.680Z,2025-10-13T03:37:25.680Z,false
