year,starts_at,ends_at,created_at,updated_at,categories,city,iso_code
2013,2013-03-14T15:00:00.000Z,2013-03-16T14:59:59.000Z,2025-07-12T06:26:43.669Z,2025-07-12T06:26:43.669Z,"[1,4,5]",Basel,756
2014,2014-02-27T15:00:00.000Z,2014-03-01T14:59:59.000Z,2025-07-12T06:26:43.669Z,2025-07-12T06:26:43.669Z,"[1,4,5]",Basel,756
2015,2015-03-05T15:00:00.000Z,2015-03-07T14:59:59.000Z,2025-07-12T06:26:43.669Z,2025-07-12T06:26:43.669Z,"[1,4,5]",Basel,756
2016,2016-03-03T15:00:00.000Z,2016-03-05T14:59:59.000Z,2025-07-12T06:26:43.669Z,2025-07-12T06:26:43.669Z,"[1,4,5]",Basel,756
2017,2017-03-16T15:00:00.000Z,2017-03-18T14:59:59.000Z,2025-07-12T06:27:53.915Z,2025-07-12T06:27:53.915Z,"[1,4,5]",Basel,756
2018,2018-03-01T15:00:00.000Z,2018-03-03T14:59:59.000Z,2025-07-12T06:27:53.915Z,2025-07-12T06:27:53.915Z,"[1,4,5]",Basel,756
2019,2019-04-11T15:00:00.000Z,2019-04-14T14:59:59.000Z,2025-07-12T06:27:53.915Z,2025-07-12T06:27:53.915Z,"[1,4,5]",Warsaw,616
2020,2020-04-04T15:00:00.000Z,2020-04-05T14:59:59.000Z,2025-07-12T06:27:53.915Z,2025-07-12T06:27:53.915Z,"[1,4]",online,0
2021,2021-10-21T15:00:00.000Z,2021-10-24T14:59:59.000Z,2025-07-12T06:27:53.915Z,2025-07-12T06:27:53.915Z,"[1,3,4,5,6]",Warsaw,616
2023,2023-10-18T05:00:00.000Z,2023-10-21T14:59:59.000Z,2025-07-12T05:33:35.760Z,2025-07-12T05:33:35.760Z,"[1,2,4,5,6,7]",Tokyo,392
2024,2024-11-01T06:00:00.000Z,2024-11-03T14:59:59.000Z,2025-07-12T05:32:33.332Z,2025-07-12T05:32:33.332Z,"[1,2,4,5,6]",Tokyo,392
2025,2025-10-31T06:00:00.000Z,2025-11-02T14:59:59.000Z,2025-07-12T05:30:04.608Z,2025-07-12T05:30:04.608Z,"[1,2,4,5,6]",Tokyo,392
2022,,,2025-07-12T06:27:53.915Z,2025-07-12T06:27:53.915Z,,,
2026,2026-09-24T12:00:00.000Z,2026-09-26T14:59:59.000Z,2025-10-04T10:39:03.416Z,2025-10-04T10:39:03.416Z,"[1,4,5,6,8,9,10]",Warsaw,616
